callsign;actype;origin;destination;time;lat;lon;
AFR406;B77W;LFPG;SCEL;2019-03-11 23:00:39;49.012798;2.55;
UAE231;A388;OMDB;KIAD;2019-03-11 23:02:24;25.25279999;55.36439896;
AEA026;A332;SLVR;LEMD;2019-03-11 23:16:20;-17.6448;-63.135399;
DLH507;B748;SBGR;EDDF;2019-03-11 23:21:12;-23.43555641;-46.47305679;
UAE220;B77W;KMCO;OMDB;2019-03-11 23:39:23;28.42939949;-81.30899811;
ELY018;B789;KMIA;LLBG;2019-03-11 23:42:46;25.79319954;-80.29060364;
DAL214;A332;KJFK;DNMM;2019-03-12 04:25:00;40.63980103;-73.77890015;
AAL39;B77W;EGLL;KMIA;2019-03-12 10:00:00;51.4706;-0.461941;
DLH460;A388;EDDM;KMIA;2019-03-12 11:19:00;48.353802;11.7861;
BAW249;B788;EGLL;SBGL;2019-03-12 11:47:00;51.4706;-0.461941;
DLH464;B744;EDDF;KMCO;2019-03-12 13:27:00;50.033333;8.570556;
AVA019;B788;LEBL;SKBO;2019-03-12 13:51:00;41.2971;2.07846;
BAW209;A388;EGLL;KMIA;2019-03-12 15:10:00;51.4706;-0.461941;
BAW211;B744;EGLL;KMIA;2019-03-12 16:40:00;51.4706;-0.461941;